Dia ,Cambio 
23/02/2012,12.82940
24/02/2012,12.86750
27/02/2012,12.87790
28/02/2012,12.85750
29/02/2012,12.78910
01/03/2012,12.77640
02/03/2012,12.77230
05/03/2012,12.83390
06/03/2012,12.97770
07/03/2012,12.94690
08/03/2012,12.78400
09/03/2012,12.62990
12/03/2012,12.71500
13/03/2012,12.63360
14/03/2012,12.67190
15/03/2012,12.65910
16/03/2012,12.66450
20/03/2012,12.69350
21/03/2012,12.68330
22/03/2012,12.83300
23/03/2012,12.80350
26/03/2012,12.67950
27/03/2012,12.67060
28/03/2012,12.80390
29/03/2012,12.84890
30/03/2012,12.80930
02/04/2012,12.76910
03/04/2012,12.73170
04/04/2012,12.81550
09/04/2012,12.99020
10/04/2012,13.15680
11/04/2012,13.13240
12/04/2012,13.07360
13/04/2012,13.14580
16/04/2012,13.21680
17/04/2012,13.08160
18/04/2012,13.13220
19/04/2012,13.22880
20/04/2012,13.11710
23/04/2012,13.20870
24/04/2012,13.13920
25/04/2012,13.16670
26/04/2012,13.20930
27/04/2012,13.01410
30/04/2012,12.99420
02/05/2012,12.96290
03/05/2012,12.97250
04/05/2012,13.13440
07/05/2012,13.16590
08/05/2012,13.33740
09/05/2012,13.51500
10/05/2012,13.44700
11/05/2012,13.49290
14/05/2012,13.67390
15/05/2012,13.73020
16/05/2012,13.77470
17/05/2012,13.79940
18/05/2012,13.78090
21/05/2012,13.79350
22/05/2012,13.72030
23/05/2012,14.03350
24/05/2012,14.00400
25/05/2012,14.01560
28/05/2012,13.94390
29/05/2012,13.91690
30/05/2012,14.07490
31/05/2012,14.30470
01/06/2012,14.39490
04/06/2012,14.24430
05/06/2012,14.23190
06/06/2012,14.11160
07/06/2012,13.93550
08/06/2012,14.03510
11/06/2012,13.96250
12/06/2012,14.00600
13/06/2012,13.97000
14/06/2012,13.99740
15/06/2012,13.91150
18/06/2012,13.91540
19/06/2012,13.70330
20/06/2012,13.72570
21/06/2012,13.76680
22/06/2012,13.84900
25/06/2012,13.95420
26/06/2012,13.86160
27/06/2012,13.66520
28/06/2012,13.65300
29/06/2012,13.40840
02/07/2012,13.39700
03/07/2012,13.31740
04/07/2012,13.36170
05/07/2012,13.35080
06/07/2012,13.49250
09/07/2012,13.45330
10/07/2012,13.29240
11/07/2012,13.32410
12/07/2012,13.47950
13/07/2012,13.34490
16/07/2012,13.28320
17/07/2012,13.22260
18/07/2012,13.12010
19/07/2012,13.19210
